Project        ImType Object           ExpTime Filter  LST      UTDate     UTC        JD           Filename               [Logged@UT]
ALL            OBJECT focus                7.0 H       10:35:30 2014-06-01 22:37:24.0 2456810.4426 irfoco.0001            [22:37:48.2
ALL            OBJECT focus               10.0 V       10:35:32 2014-06-01 22:37:26.6 2456810.4427 ccdfoco.0001           [22:38:20.7
ALL            OBJECT focus                7.0 H       10:36:36 2014-06-01 22:38:29.5 2456810.4434 irfoco.0002            [22:38:53.7
ALL            OBJECT focus               10.0 V       10:36:38 2014-06-01 22:38:32.0 2456810.4434 ccdfoco.0002           [22:39:26.0
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:41:00 2014-06-01 22:42:53.3 2456810.4465 ccd140601.0001         [22:44:08.2
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:42:17 2014-06-01 22:44:09.7 2456810.4473 ccd140601.0002         [22:45:23.6
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:43:33 2014-06-01 22:45:26.1 2456810.4482 ccd140601.0003         [22:46:40.8
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:44:50 2014-06-01 22:46:42.5 2456810.4491 ccd140601.0004         [22:47:56.4
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:46:06 2014-06-01 22:47:58.9 2456810.4500 ccd140601.0005         [22:49:13.7
NOAO-14A-0016  OBJECT WASP-19             30.0 V       10:47:23 2014-06-01 22:49:15.3 2456810.4509 ccd140601.0006         [22:50:29.3
CHILE-12B-0001 OBJECT V648 Car             5.0 B       10:51:04 2014-06-01 22:52:55.4 2456810.4534 ccd140601.0007         [22:53:46.4
CHILE-12B-0001 OBJECT V648 Car             5.0 V       10:52:01 2014-06-01 22:53:52.4 2456810.4541 ccd140601.0008         [22:54:41.4
CHILE-12B-0001 OBJECT V648 Car             3.0 R       10:52:58 2014-06-01 22:54:49.0 2456810.4547 ccd140601.0009         [22:55:36.7
CHILE-12B-0001 OBJECT V648 Car             2.0 I       10:53:56 2014-06-01 22:55:46.7 2456810.4554 ccd140601.0010         [22:56:32.7
STANDARD       OBJECT PERSSON-P9144       20.1 J       10:58:16 2014-06-01 23:00:06.5 2456810.4584 ir140601.0001          [23:00:43.8
STANDARD       OBJECT PERSSON-P9144       20.1 J       10:58:52 2014-06-01 23:00:42.4 2456810.4588 ir140601.0002          [23:01:18.8
STANDARD       OBJECT PERSSON-P9144       20.1 J       10:59:28 2014-06-01 23:01:18.5 2456810.4592 ir140601.0003          [23:01:57.4
STANDARD       OBJECT PERSSON-P9144       20.1 J       11:00:04 2014-06-01 23:01:54.5 2456810.4597 ir140601.0004          [23:02:31.0
STANDARD       OBJECT PERSSON-P9144       20.0 H       11:00:45 2014-06-01 23:02:35.1 2456810.4601 ir140601.0005          [23:03:13.1
STANDARD       OBJECT PERSSON-P9144       20.0 H       11:01:21 2014-06-01 23:03:11.0 2456810.4605 ir140601.0006          [23:03:47.4
STANDARD       OBJECT PERSSON-P9144       20.1 H       11:01:57 2014-06-01 23:03:47.1 2456810.4610 ir140601.0007          [23:04:24.3
STANDARD       OBJECT PERSSON-P9144       20.0 H       11:02:33 2014-06-01 23:04:23.0 2456810.4614 ir140601.0008          [23:04:59.4
STANDARD       OBJECT PERSSON-P9144       20.1 K       11:03:14 2014-06-01 23:05:03.4 2456810.4619 ir140601.0009          [23:05:41.1
STANDARD       OBJECT PERSSON-P9144       20.1 K       11:03:50 2014-06-01 23:05:39.1 2456810.4623 ir140601.0010          [23:06:15.5
STANDARD       OBJECT PERSSON-P9144       20.0 K       11:04:26 2014-06-01 23:06:15.2 2456810.4627 ir140601.0011          [23:06:52.5
STANDARD       OBJECT PERSSON-P9144       20.1 K       11:05:02 2014-06-01 23:06:51.1 2456810.4631 ir140601.0012          [23:07:27.5
STANDARD       OBJECT PERSSON-P9144       20.1 Y       11:05:44 2014-06-01 23:07:32.7 2456810.4636 ir140601.0013          [23:08:10.1
STANDARD       OBJECT PERSSON-P9144       20.0 Y       11:06:20 2014-06-01 23:08:08.7 2456810.4640 ir140601.0014          [23:08:45.0
STANDARD       OBJECT PERSSON-P9144       20.0 Y       11:06:56 2014-06-01 23:08:44.7 2456810.4644 ir140601.0015          [23:09:22.1
STANDARD       OBJECT PERSSON-P9144       20.0 Y       11:07:32 2014-06-01 23:09:20.9 2456810.4648 ir140601.0016          [23:09:57.3
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.1 K       11:11:32 2014-06-01 23:13:20.0 2456810.4676 ir140601.0017          [23:13:47.9
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 K       11:11:58 2014-06-01 23:13:45.7 2456810.4679 ir140601.0018          [23:14:12.0
STANDARDFIELD  OBJECT LANDOLT-PG1047      30.0 B       11:11:34 2014-06-01 23:13:22.6 2456810.4676 ccd140601.0011         [23:14:37.5
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.1 K       11:12:24 2014-06-01 23:14:11.7 2456810.4682 ir140601.0019          [23:14:39.8
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.1 K       11:12:50 2014-06-01 23:14:37.5 2456810.4685 ir140601.0020          [23:15:04.8
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 H       11:13:23 2014-06-01 23:15:10.8 2456810.4689 ir140601.0021          [23:15:37.0
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 H       11:13:49 2014-06-01 23:15:36.6 2456810.4692 ir140601.0022          [23:16:03.7
STANDARDFIELD  OBJECT LANDOLT-PG1047      20.0 I       11:13:26 2014-06-01 23:15:13.4 2456810.4689 ccd140601.0012         [23:16:17.3
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 H       11:14:15 2014-06-01 23:16:02.4 2456810.4695 ir140601.0023          [23:16:29.9
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 J       11:14:50 2014-06-01 23:16:37.5 2456810.4699 ir140601.0024          [23:17:03.9
STANDARDFIELD  OBJECT LANDOLT-PG1047      10.0 J       11:15:16 2014-06-01 23:17:03.4 2456810.4702 ir140601.0025          [23:17:30.4
STANDARDFIELD  OBJECT LANDOLT-PG1047      20.0 R       11:14:52 2014-06-01 23:16:40.1 2456810.4699 ccd140601.0013         [23:17:44.1
